ad_id,platform,target_audience,creative_theme,status,start_date,days_running,spend,revenue,roas,audit_status,contribution,explanation,source_pointer
AD-0001,Meta,F 25-34,Celebrity Endorsement,Completed,2025-07-18,37,146875.11,19121965.21,130.19,Not flagged,0.00,Excluded: roas_below_one.,/0
AD-0002,Instagram,F 35-44,Product Demo,Active,2025-04-02,2,164139.88,75934842.01,462.62,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/1
AD-0003,Google,M 25-34,Infographic,Active,2025-09-10,72,71406.29,925321.53,12.96,Not flagged,0.00,Excluded: roas_below_one.,/2
AD-0004,Instagram,M 18-24,Testimonial,Completed,2025-02-07,59,178383.21,15074432.4,84.51,Not flagged,0.00,Excluded: roas_below_one.,/3
AD-0005,Google,M 18-24,Infographic,Completed,2025-07-19,55,107030.09,6911876.79,64.58,Not flagged,0.00,Excluded: roas_below_one.,/4
AD-0006,Instagram,M 35-44,Lifestyle,Completed,2025-03-27,25,52301.02,196962.95,3.77,Not flagged,0.00,Excluded: roas_below_one.,/5
AD-0007,Google,F 35-44,Celebrity Endorsement,Active,2025-02-14,17,35044.11,2225477.27,63.51,Not flagged,0.00,Excluded: roas_below_one.,/6
AD-0008,Meta,F 35-44,Before/After,Completed,2025-11-05,43,180216.25,11742306.72,65.16,Not flagged,0.00,Excluded: roas_below_one.,/7
AD-0009,Google,F 35-44,Celebrity Endorsement,Completed,2025-02-07,51,159686.64,1737983.17,10.88,Not flagged,0.00,Excluded: roas_below_one.,/8
AD-0010,Instagram,F 25-34,Product Demo,Active,2025-05-09,35,35895.31,2798788.66,77.97,Not flagged,0.00,Excluded: roas_below_one.,/9
AD-0011,YouTube,F 18-24,UGC Style,Active,2025-11-17,10,128133.63,4450973.98,34.74,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/10
AD-0012,YouTube,F 35-44,Before/After,Active,2025-11-13,74,50051.93,9583970.38,191.48,Not flagged,0.00,Excluded: roas_below_one.,/11
AD-0013,Instagram,F 18-24,Celebrity Endorsement,Paused,2025-05-25,14,116214.68,9147211.77,78.71,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/12
AD-0014,Meta,M 35-44,Before/After,Paused,2025-10-11,82,103053.46,283524.12,2.75,Not flagged,0.00,Excluded: roas_below_one.,/13
AD-0015,Instagram,F 18-24,Doctor Trust,Paused,2025-03-05,53,120014.45,1427462.66,11.89,Not flagged,0.00,Excluded: roas_below_one.,/14
AD-0016,Instagram,F 25-34,Product Demo,Paused,2025-02-11,28,130071.05,15701903.98,120.72,Not flagged,0.00,Excluded: roas_below_one.,/15
AD-0017,Instagram,M 18-24,Celebrity Endorsement,Active,2025-03-09,5,124506.18,41291553.84,331.64,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/16
AD-0018,Meta,M 18-24,Product Demo,Active,2025-01-25,13,48462.6,10764568.34,222.12,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/17
AD-0019,Meta,M 18-24,Before/After,Active,2025-10-10,59,170114.76,33248267.39,195.45,Not flagged,0.00,Excluded: roas_below_one.,/18
AD-0020,YouTube,M 25-34,Doctor Trust,Active,2025-08-21,65,160814.02,53409794.83,332.12,Not flagged,0.00,Excluded: roas_below_one.,/19
AD-0021,Instagram,F 18-24,Before/After,Active,2025-05-14,10,164994.29,2961740.6,17.95,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/20
AD-0022,Meta,M 35-44,Celebrity Endorsement,Paused,2025-01-11,68,189285.65,28876260.56,152.55,Not flagged,0.00,Excluded: roas_below_one.,/21
AD-0023,Google,M 25-34,Infographic,Paused,2025-07-11,27,116839.99,737490.63,6.31,Not flagged,0.00,Excluded: roas_below_one.,/22
AD-0024,YouTube,M 25-34,Testimonial,Paused,2025-09-13,73,135198.78,13170418.45,97.42,Not flagged,0.00,Excluded: roas_below_one.,/23
AD-0025,YouTube,M 35-44,Testimonial,Active,2025-06-01,34,143983.3,1980606.27,13.76,Not flagged,0.00,Excluded: roas_below_one.,/24
AD-0026,Instagram,F 25-34,Before/After,Paused,2025-07-07,70,33575.68,3061647.07,91.19,Not flagged,0.00,Excluded: roas_below_one.,/25
AD-0027,Google,M 25-34,Infographic,Active,2025-11-20,31,53503.65,6190245.59,115.7,Not flagged,0.00,Excluded: roas_below_one.,/26
AD-0028,Google,M 25-34,Lifestyle,Completed,2025-07-27,69,31328.14,3891041.3,124.2,Not flagged,0.00,Excluded: roas_below_one.,/27
AD-0029,Instagram,M 35-44,Lifestyle,Paused,2025-11-17,65,139192.58,95216.6,0.68,Wasted spend,139192.58,All three strict thresholds pass; full spend counts once in Instagram.,/28
AD-0030,Google,M 18-24,Before/After,Active,2025-07-28,21,162681.14,140391.58,0.86,Wasted spend,162681.14,All three strict thresholds pass; full spend counts once in Google.,/29
AD-0031,Google,M 35-44,Infographic,Paused,2025-04-11,53,142219.74,3216010.55,22.61,Not flagged,0.00,Excluded: roas_below_one.,/30
